eventnum,name,Film,award,date_of_award,years,days,age_at_award
65,Jodie Foster,The Silence of the Lambs,best actress,30-Mar-92,29,132,29.36
66,Emma Thompson,Howards End,best actress,29-Mar-93,33,348,33.95
67,Holly Hunter,The Piano,best actress,21-Mar-94,36,1,36
68,Jessica Lange,Blue Sky,best actress,27-Mar-95,45,341,45.93
69,Susan Sarandon,Dead Man Walking,best actress,25-Mar-96,49,173,49.47
70,Frances McDormand,Fargo,best actress,24-Mar-97,39,274,39.75
71,Helen Hunt,As Good as It Gets,best actress,23-Mar-98,34,281,34.77
72,Gwyneth Paltrow,Shakespeare in Love,best actress,21-Mar-99,26,175,26.48
73,Hilary Swank,Boys Don't Cry,best actress,26-Mar-00,25,240,25.66
74,Julia Roberts,Erin Brockovich,best actress,25-Mar-01,33,148,33.4
75,Halle Berry,Monster's Ball,best actress,24-Mar-02,35,222,35.61
76,Nicole Kidman,The Hours,best actress,23-Mar-03,35,276,35.75
77,Charlize Theron,Monster,best actress,29-Feb-04,28,206,28.56
78,Hilary Swank,Million Dollar Baby,best actress,27-Feb-05,30,212,30.58
79,Reese Witherspoon,Walk the Line,best actress,5-Mar-06,29,348,29.95
80,Helen Mirren,The Queen,best actress,25-Feb-07,61,214,61.58
81,Marion Cotillard,La Vie en rose,best actress,24-Feb-08,32,147,32.4
82,Kate Winslet,The Reader,best actress,22-Feb-09,33,140,33.38
83,Sandra Bullock,The Blind Side,best actress,7-Mar-10,45,224,45.61
84,Natalie Portman,Black Swan,best actress,27-Feb-11,29,263,29.72
85,Meryl Streep,The Iron Lady,best actress,26-Feb-12,62,249,62.68
86,Jennifer Lawrence,Silver Linings Playbook,best actress,24-Feb-13,22,193,22.53
87,Cate Blanchett,Blue Jasmine,best actress,2-Mar-14,44,292,44.8
88,Julianne Moore,Still Alice,best actress,22-Feb-15,54,81,54.22
89,Brie Larson,Room,best actress,28-Feb-16,26,150,26.41
90,Emma Stone,La La Land,best actress,26-Feb-17,28,112,28.31
91,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",best actress,4-Mar-18,60,254,60.69
92,Olivia Colman,The Favourite,best actress,24-Feb-19,45,25,45.07
93,Renée Zellweger,Judy,best actress,9-Feb-20,50,290,50.79
94,Frances McDormand,Nomadland,best actress,25-Apr-21,63,306,63.84
