Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,RE24,NameASCII,PlayerId,MLBAMID
"Sam Coonrod","PHI",42,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26678532802441335,0.12093835324048996,-0.011263135774168535,-0.2459999918937683,"Sam Coonrod",17264,656322
"Junior Guerra","LAA",41,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0.075,-100,0,-0.5275519429321809,0.24187670648097992,-0.02177152551127958,-0.2460000067949295,"Junior Guerra",5702,448855
"Héctor Neris","PHI",74,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26678532802441335,0.12093835324048996,-0.011263135774168535,-0.24799999594688416,"Hector Neris",11804,593576
"Yusei Kikuchi","SEA",29,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.5127879469271226,0.24187670648097992,-0.02029106124729721,-0.2529999911785126,"Yusei Kikuchi",20633,579328
"Charlie Barnes","MIN",9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.2599518939194939,0.12093835324048996,-0.010502302197367228,-0.2540000081062317,"Charlie Barnes",19865,656212
"Manuel Rodríguez","CHC",20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26494916223862386,0.12093835324048996,-0.011079013682312299,-0.26099997758865356,"Manuel Rodriguez",20794,655889
"Luís Madero","MIA",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0.285,-100,0,-0.266689826482322,0.12093835324048996,-0.011253559327509172,-0.265999972820282,"Luis Madero",20399,650347
"Pete Kozma","OAK",3,12,0,0,0,0,0.083333333,0.333333333,0,0.142857142,0.09090909,0.166666666,0.09090909,0.130897656083107,0.198,-20.609352347060202,-0.006845042575150728,-1.7788473704164063,0.8948874324560165,-0.04739147319694116,-0.2669999301433563,"Pete Kozma",2539,518902
"Corey Kluber","NYY",16,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0.04,-100,0,-0.5180729566689057,0.24187670648097992,-0.020821017233117578,-0.27799999713897705,"Corey Kluber",2429,446372
"Aaron Ashby","MIL",14,4,0,0,0,0,0.25,0.5,0,0,0,0.333333333,0,0.23057218392690024,0.231,40.57968651937423,-0.003422521287575364,-0.3060038836233295,0.48375341296195984,0.03127074786395804,-0.2849999964237213,"Aaron Ashby",23550,676879
"Ali Sánchez","STL",2,4,0,0,0,0,0,0,0.5,0.5,0.5,0.5,1,0.6208232641220093,0.51,296.68884136657437,-0.8930808901786804,0.10850213910547146,-0.07090017199516296,0.017217407732181382,-0.28699991106987,"Ali Sanchez",18551,645305
"Sean Poppen","- - -",24,1,0,0,0,0,0,1,0,0,0,0,0,0,,-100,0,-0.2678523554740212,0.12093835324048996,-0.01137013228157015,-0.29399996995925903,"Sean Poppen",19583,664092
"Ryan Castellani","COL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.113,-100,0,-0.28453658216574407,0.12093835324048996,-0.0130431482713343,-0.29500001668930054,"Ryan Castellani",16377,624418
"Brandon Waddell","- - -",9,1,0,0,0,0,0,1,0,0,0,0,0,0,,-100,0,-0.26325982504465795,0.12093835324048996,-0.010909614872896073,-0.29500001668930054,"Brandon Waddell",18347,663399
"Tejay Antone","CIN",23,5,0,1,0,0,0.2,0.6,0,0,0,0.25,0,0.17292913794517517,0.173,-1.6040612389777416,-0.003422521287575364,-0.6501604268053431,0.604691743850708,0.012249187327724481,-0.29600000381469727,"Tejay Antone",16233,622088
"Yennsy Díaz","NYM",20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.2605262070236466,0.12093835324048996,-0.010635500480688235,-0.296999990940094,"Yennsy Diaz",20218,660546
"Ryne Harper","WSN",34,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,-100,0,-0.5332219092722459,0.24187670648097992,-0.02249130085749361,-0.2980000376701355,"Ryne Harper",12680,607560
"Tyler Payne","CHC",1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.5298983244772477,0.05632714554667473,-0.04076406695355049,-0.30000001192092896,"Tyler Payne",21139,665066
"Nick Pivetta","BOS",31,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.5377065478439851,0.24187670648097992,-0.02278978165830342,-0.3019999861717224,"Nick Pivetta",15454,601713
"Travis Blankenhorn","- - -",24,24,1,4,4,0,0.041666666,0.333333333,0.217391304,0.214285714,0.173913043,0.208333333,0.391304347,0.2525243138273557,,59.47299451122891,-0.0014039818197488785,-1.2396387685997865,-0.8961019950220361,-0.1334809122488617,-0.307999849319458,"Travis Blankenhorn",18395,663905
"A.J. Minter","ATL",61,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26787378334381795,0.12093835324048996,-0.011372280967838863,-0.3099999725818634,"A.J. Minter",18655,621345
