Name,Bats,MLB,Age,G,PA,AB,H,D,T,HR,R,RBI,K,BB,SB,CS,GDP,HBP,SH,SF,RC,Pos,AVG,OBP,SLG,OPS,WOBA,WAR
David Villar,R,SFG,27,11,37,35,9,4,0,1,3,4,13,1,0,0,0,0,0,1,4.535,3,0.257,0.27,0.457,0.727,0.305,-0.0743
Tyler Black,L,MIL,23,18,57,49,10,2,0,0,4,2,17,7,3,0,0,1,0,0,4.939,3,0.204,0.316,0.245,0.561,0.265,-0.0746
Tommy Pham,R,- - -,36,116,478,440,109,20,3,9,49,39,106,35,7,3,5,2,0,1,50.748,978,0.248,0.305,0.368,0.673,0.297,-0.0747
Vinny Capra,R,MIL,27,3,9,9,1,1,0,0,1,0,3,0,0,0,1,0,0,0,0,5,0.111,0.111,0.222,0.333,0.139,-0.075
Anthony Rendon,R,LAA,34,57,238,206,45,10,0,0,21,14,35,23,6,1,4,5,0,4,19.28,5,0.218,0.307,0.267,0.574,0.264,-0.0784
Ryan McKenna,R,- - -,27,13,15,14,3,0,0,2,4,2,5,1,1,1,0,0,0,0,1.956,987,0.214,0.267,0.643,0.91,0.378,-0.0795
Liover Peguero,R,PIT,23,3,10,10,2,1,0,0,0,2,3,0,0,0,0,0,0,0,0.6,6,0.2,0.2,0.3,0.5,0.214,-0.0827
Edwin Rios,L,CIN,30,5,10,9,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0.252,3,0.111,0.2,0.111,0.311,0.157,-0.0867
Miguel Sano,R,LAA,31,28,95,83,17,3,0,2,9,6,36,9,0,0,2,2,0,1,8.041,53,0.205,0.295,0.313,0.608,0.275,-0.0891
Hunter Renfroe,R,KCR,32,120,424,385,88,18,0,15,44,52,84,36,1,1,10,2,0,1,43.917,9,0.229,0.297,0.392,0.689,0.302,-0.0915
Blaze Alexander,R,ARI,25,61,185,166,41,7,0,3,19,21,49,15,3,1,1,3,1,0,19.645,645,0.247,0.321,0.343,0.664,0.298,-0.093
Luis Vazquez,R,CHC,24,11,14,12,1,0,0,0,2,1,6,0,0,0,1,1,0,1,0.127,65,0.083,0.143,0.083,0.226,0.114,-0.0938
Jonah Heim,B,TEX,29,131,491,459,101,12,1,13,45,59,90,26,1,1,13,4,0,2,38.927,2,0.22,0.267,0.336,0.603,0.265,-0.1001
Aramis Garcia,R,PHI,31,3,7,7,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,-0.1042
Brian Anderson,R,ATL,31,3,5,5,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,9,0,0,0,0,0,-0.1076
Alex Jackson,R,TBR,28,58,155,139,17,7,0,3,17,12,53,12,1,0,2,2,1,1,7.147,2,0.122,0.201,0.237,0.438,0.2,-0.1115
